program_name,program_url
General BA Film Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7327&s=1151&y=92
General BA French,https://academic-calendar.wlu.ca/program.php?cal=1&d=3104&p=7330&s=1151&y=92
General BA Global Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3083&p=7329&s=1151&y=92
General BA Leadership,https://academic-calendar.wlu.ca/program.php?cal=1&d=3182&p=7338&s=1165&y=92
General BA North American Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3090&p=7331&s=1151&y=92
General BA Philosophy,https://academic-calendar.wlu.ca/program.php?cal=1&d=3068&p=7333&s=1151&y=92
General BA Political Science,https://academic-calendar.wlu.ca/program.php?cal=1&d=3069&p=7332&s=1151&y=92
General BA Religion and Culture,https://academic-calendar.wlu.ca/program.php?cal=1&d=3070&p=7334&s=1151&y=92
General BA Sociology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3071&p=7335&s=1151&y=92
General BA Without Designation,https://academic-calendar.wlu.ca/program.php?cal=1&d=3187&p=7307&s=1165&y=92
General BA Youth and Children's Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3149&p=7339&s=1153&y=92
General BA without Designation,https://academic-calendar.wlu.ca/program.php?cal=1&d=3091&p=7040&s=1151&y=92
General BA without Designation,https://academic-calendar.wlu.ca/program.php?cal=1&d=3144&p=7214&s=1153&y=92
General BA without Designation,https://academic-calendar.wlu.ca/program.php?cal=1&d=3126&p=7163&s=1152&y=92
General BSc Biology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3116&p=7346&s=1152&y=92
General BSc Science,https://academic-calendar.wlu.ca/program.php?cal=1&d=3132&p=7344&s=1152&y=92
General BSc without Designation,https://academic-calendar.wlu.ca/program.php?cal=1&d=3125&p=7162&s=1152&y=92
Geography Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3112&p=7083&s=1152&y=92
Geomatics Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3112&p=7077&s=1152&y=92
German Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3105&p=7060&s=1151&y=92
Global Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3083&p=7018&s=1151&y=92
Health Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3184&p=7296&s=1165&y=92
History Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3084&p=7025&s=1151&y=92
History Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3143&p=7209&s=1153&y=92
History Teaching Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3084&p=7337&s=1151&y=92
"History, Philosophy and Ethics of Science Minor",https://academic-calendar.wlu.ca/program.php?cal=1&d=3085&p=7030&s=1151&y=92
Honours BA Ancient Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3101&p=7050&s=1151&y=92
Honours BA Ancient Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3101&p=7052&s=1151&y=92
Honours BA Anthropology in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3074&p=6979&s=1151&y=92
Honours BA Archaeology and Heritage Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3076&p=6985&s=1151&y=92
Honours BA Archaeology and Heritage Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3076&p=6983&s=1151&y=92
Honours BA Biology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3116&p=7109&s=1152&y=92
Honours BA Biology in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3116&p=7110&s=1152&y=92
"Honours BA Christianity, Interfaith Dialogue, and Community Engagement",https://academic-calendar.wlu.ca/program.php?cal=1&d=3181&p=7277&s=1164&y=92
"Honours BA Christianity, Interfaith Dialogue, and Community Engagement in Combination with another Honours BA Program",https://academic-calendar.wlu.ca/program.php?cal=1&d=3181&p=7278&s=1164&y=92
Honours BA Communication Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3077&p=6987&s=1151&y=92
Honours BA Communication Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3077&p=6988&s=1151&y=92
Honours BA Communication Studies with Concentrations,https://academic-calendar.wlu.ca/program.php?cal=1&d=3077&p=6992&s=1151&y=92
"Honours BA Communication Studies, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3077&p=6993&s=1151&y=92
Honours BA Computer Science,https://academic-calendar.wlu.ca/program.php?cal=1&d=3118&p=7140&s=1152&y=92
Honours BA Computer Science in Combination with another Honours BA program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3118&p=7132&s=1152&y=92
Honours BA Computer Science in Combination with another Honours BA/Professional Experience Program Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3118&p=7134&s=1152&y=92
Honours BA Criminology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3183&p=7287&s=1165&y=92
Honours BA Criminology and LLB (Sussex) Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3183&p=7292&s=1165&y=92
Honours BA Criminology and Policing,https://academic-calendar.wlu.ca/program.php?cal=1&d=3183&p=7293&s=1165&y=92
Honours BA Criminology and Policing,https://academic-calendar.wlu.ca/program.php?cal=1&d=3191&p=7315&s=1165&y=92
Honours BA Criminology in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3183&p=7288&s=1165&y=92
Honours BA Cultural Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3077&p=6990&s=1151&y=92
Honours BA Cultural Studies in Combination with another Honours BA program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3078&p=6994&s=1151&y=92
Honours BA Digital Media and Journalism,https://academic-calendar.wlu.ca/program.php?cal=1&d=3139&p=7195&s=1153&y=92
Honours BA Digital Media and Journalism: Advanced Standing Conestoga College Journalism Diploma Graduates,https://academic-calendar.wlu.ca/program.php?cal=1&d=3139&p=7198&s=1153&y=92
Honours BA Economics,https://academic-calendar.wlu.ca/program.php?cal=1&d=3156&p=7250&s=1154&y=92
Honours BA Economics and Accounting,https://academic-calendar.wlu.ca/program.php?cal=1&d=3156&p=7251&s=1154&y=92
Honours BA Economics and Data Analytics,https://academic-calendar.wlu.ca/program.php?cal=1&d=3156&p=7259&s=1154&y=92
Honours BA Economics and Financial Management,https://academic-calendar.wlu.ca/program.php?cal=1&d=3156&p=7252&s=1154&y=92
Honours BA Economics in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3156&p=7253&s=1154&y=92
Honours BA English,https://academic-calendar.wlu.ca/program.php?cal=1&d=3079&p=6996&s=1151&y=92
Honours BA English,https://academic-calendar.wlu.ca/program.php?cal=1&d=3142&p=7207&s=1153&y=92
Honours BA English (Sussex) LLB Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3079&p=7006&s=1151&y=92
Honours BA English (Sussex) LLB Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3142&p=7206&s=1153&y=92
Honours BA English Combined with Vancouver Film School Diploma Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3079&p=7002&s=1151&y=92
Honours BA English in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3079&p=6997&s=1151&y=92
Honours BA English in Combination with another Honours BAProgram,https://academic-calendar.wlu.ca/program.php?cal=1&d=3142&p=7202&s=1153&y=92
"Honours BA English, Co-operative education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3079&p=7353&s=1151&y=92
Honours BA Environmental Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3111&p=7067&s=1152&y=92
Honours BA Environmental Studies in Combination with Fleming College Programs,https://academic-calendar.wlu.ca/program.php?cal=1&d=3111&p=7070&s=1152&y=92
Honours BA Environmental Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3111&p=7071&s=1152&y=92
Honours BA Film Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7010&s=1151&y=92
Honours BA Film Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7008&s=1151&y=92
Honours BA Film Studies with Vancouver Film School Diploma Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7014&s=1151&y=92
